id,day_of_week,time,stadium_name,visiting_team_name,home_team_name
1,Monday,1:30 PM,Stadium,Rays,Rock Hounds
2,Monday,1:30 PM,TP2,Blue Jays,Cubs
3,Monday,1:30 PM,TP3,Senators,Red Sox
4,Monday,1:30 PM,TP4,Scouts,Rockies
5,Monday,4:00 PM,Stadium,North Stars,Gamecocks
6,Monday,4:00 PM,TP2,Maineiacs,Reds
7,Monday,4:00 PM,TP3,Cowboys,Legends
8,Monday,4:00 PM,TP4,Firefighters,Buckeyes
9,Monday,6:30 PM,Stadium,Twins,Sun Rays
10,Monday,6:30 PM,TP2,Travelers,Hurricanes
11,Monday,6:30 PM,TP4,Jets,Mudhens
12,Tuesday,9:30 AM,Stadium,Hurricanes,Sun Rays
13,Tuesday,9:30 AM,TP2,Rockies,Red Sox
14,Tuesday,9:30 AM,TP3,Twins,Scouts
15,Tuesday,9:30 AM,TP4,North Stars,Cowboys
16,Tuesday,9:30 AM,PDC1,Buckeyes,Reds
17,Tuesday,9:30 AM,PDC2,Maineiacs,Gamecocks
18,Tuesday,9:30 AM,PDC3,Legends,Firefighters
19,Tuesday,12:00 PM,Stadium,Scouts,North Stars
20,Tuesday,12:00 PM,TP2,Sun Rays,Rockies
21,Tuesday,12:00 PM,TP3,Cowboys,Twins
22,Tuesday,12:00 PM,TP4,Red Sox,Hurricanes
23,Tuesday,12:00 PM,PDC1,Gamecocks,Buckeyes
24,Tuesday,12:00 PM,PDC2,Reds,Legends
25,Tuesday,12:00 PM,PDC3,Firefighters,Maineiacs
26,Tuesday,2:30 PM,Stadium,Mudhens,Blue Jays
27,Tuesday,2:30 PM,TP2,Rays,Travelers
28,Tuesday,2:30 PM,TP3,Jets,Cubs
29,Tuesday,2:30 PM,TP4,Senators,Rock Hounds
30,Tuesday,5:00 PM,Stadium,Travelers,Senators
31,Tuesday,5:00 PM,TP2,Blue Jays,Rays
32,Tuesday,5:00 PM,TP3,Rock Hounds,Jets
33,Tuesday,5:00 PM,TP4,Cubs,Mudhens
34,Wednesday,9:30 AM,Stadium,Maineiacs,Scouts
35,Wednesday,9:30 AM,TP2,Cowboys,Firefighters
36,Wednesday,9:30 AM,TP3,Reds,Gamecocks
37,Wednesday,9:30 AM,TP4,Legends,Buckeyes
38,Wednesday,9:30 AM,PDC1,Sun Rays,North Stars
39,Wednesday,9:30 AM,PDC2,Rockies,Hurricanes
40,Wednesday,9:30 AM,PDC3,Twins,Red Sox
41,Wednesday,12:00 PM,Stadium,Firefighters,Reds
42,Wednesday,12:00 PM,TP2,Scouts,Cowboys
43,Wednesday,12:00 PM,TP3,Buckeyes,Maineiacs
44,Wednesday,12:00 PM,TP4,Gamecocks,Legends
45,Wednesday,12:00 PM,PDC1,Red Sox,Sun Rays
46,Wednesday,12:00 PM,PDC2,Hurricanes,Twins
47,Wednesday,12:00 PM,PDC3,North Stars,Rockies
48,Wednesday,2:30 PM,Stadium,Mudhens,Travelers
49,Wednesday,2:30 PM,TP2,Blue Jays,Jets
50,Wednesday,2:30 PM,TP3,Senators,Rays
51,Wednesday,2:30 PM,TP4,Cubs,Rock Hounds
52,Wednesday,5:00 PM,Stadium,Jets,Senators
53,Wednesday,5:00 PM,TP2,Travelers,Blue Jays
54,Wednesday,5:00 PM,TP3,Rock Hounds,Mudhens
55,Wednesday,5:00 PM,TP4,Rays,Cubs
56,Thursday,9:30 AM,Stadium,Cubs,Senators
57,Thursday,9:30 AM,TP2,Rock Hounds,Blue Jays
58,Thursday,9:30 AM,TP3,Red Sox,Scouts
59,Thursday,9:30 AM,TP4,Gamecocks,Firefighters
60,Thursday,12:00 PM,Stadium,Buckeyes,North Stars
61,Thursday,12:00 PM,TP2,Reds,Twins
62,Thursday,12:00 PM,TP3,Hurricanes,Jets
63,Thursday,12:00 PM,TP4,Rockies,Cowboys
64,Thursday,2:30 PM,Stadium,Legends,Maineiacs
65,Thursday,2:30 PM,TP2,Sun Rays,Travelers
66,Thursday,2:30 PM,TP4,Mudhens,Rays
